Site ID,Product,TY Vol,TY FM$,FM cpl,NM cpl
1738,MID,57246,12094.919999999976,21.127957767701773,16.940530597301315
1738,PUL,213372,49220.129999999976,23.067762798992753,18.880335628592295
1738,RUL,1258608,167016.96000000008,13.269972929715932,9.082545759315472
1739,MID,37846,9561.039999999986,25.26292181418671,20.61969181738307
1739,PUL,165926,43908.25,26.462610971789978,21.819380974986338
1739,RUL,1082155,197646.07999999996,18.26411522989991,13.62088523309627
1740,MID,33942,9228.160000000014,27.187787132509843,23.068140804243797
1740,PUL,86011,24708.460000000014,28.727134127466243,24.6074877992002
1740,RUL,1416568,293880.6200000001,20.74596110792921,16.62631477966317
1741,MID,19080,4181.870000000008,21.917779356992483,16.667411259850347
1741,PUL,43445,10461.680000000022,24.080423432510923,18.830055335368787
1741,RUL,820624,126182.81999999983,15.376438890953894,10.126070793811756
